x, y, z, alpha, beta, gamma, zero
0.528551, -1.05461e-16, 0.608537, -5.02415e-17, 0.220673, 3.14159, 0
0.528492, -1.05459e-16, 0.608501, -5.03553e-17, 0.221174, 3.14159, 0
0.528434, -1.05449e-16, 0.608465, -5.0468e-17, 0.221669, 3.14159, 0
0.528376, -1.05449e-16, 0.608429, -5.05795e-17, 0.222159, 3.14159, 0
0.528319, -1.0544e-16, 0.608394, -5.06899e-17, 0.222645, 3.14159, 0
0.528263, -1.05433e-16, 0.608359, -5.07993e-17, 0.223125, 3.14159, 0
0.528207, -1.05431e-16, 0.608324, -5.09075e-17, 0.223601, 3.14159, 0
0.528151, -1.05435e-16, 0.60829, -5.10146e-17, 0.224072, 3.14159, 0
0.528097, -1.05427e-16, 0.608256, -5.11207e-17, 0.224538, 3.14159, 0
0.528043, -1.05414e-16, 0.608223, -5.12257e-17, 0.225, 3.14159, 0
0.527989, -1.05406e-16, 0.608189, -5.13297e-17, 0.225457, 3.14159, 0
0.527936, -1.054e-16, 0.608157, -5.14326e-17, 0.225909, 3.14159, 0
0.527883, -1.05399e-16, 0.608124, -5.15345e-17, 0.226357, 3.14159, 0
0.527831, -1.05387e-16, 0.608092, -5.16354e-17, 0.226801, 3.14159, 0
0.527779, -1.05381e-16, 0.60806, -5.17352e-17, 0.22724, 3.14159, 0
0.527728, -1.05371e-16, 0.608028, -5.18341e-17, 0.227674, 3.14159, 0
0.527678, -1.05366e-16, 0.607997, -5.1932e-17, 0.228104, 3.14159, 0
0.527628, -1.05367e-16, 0.607966, -5.20289e-17, 0.22853, 3.14159, 0
0.527578, -1.05361e-16, 0.607936, -5.21248e-17, 0.228952, 3.14159, 0
0.527529, -1.05353e-16, 0.607905, -5.22198e-17, 0.22937, 3.14159, 0
0.527481, -1.05347e-16, 0.607875, -5.23138e-17, 0.229783, 3.14159, 0
0.527433, -1.05341e-16, 0.607845, -5.24069e-17, 0.230192, 3.14159, 0
0.527385, -1.05338e-16, 0.607816, -5.2499e-17, 0.230597, 3.14159, 0
0.527338, -1.05334e-16, 0.607787, -5.25902e-17, 0.230998, 3.14159, 0
0.527291, -1.05329e-16, 0.607758, -5.26805e-17, 0.231395, 3.14159, 0
0.527245, -1.05323e-16, 0.60773, -5.27699e-17, 0.231788, 3.14159, 0
