x, y, z, alpha, beta, gamma, zero
0.0679982, -0.04428, 0.611015, -1.62229, 0.0286808, 2.56822, 0
0.0668389, -0.0443886, 0.610989, -1.62616, 0.0287679, 2.56686, 0
0.0656912, -0.0444961, 0.610962, -1.62998, 0.0288541, 2.56551, 0
0.064555, -0.0446026, 0.610936, -1.63377, 0.0289395, 2.56418, 0
0.0634302, -0.0447081, 0.610911, -1.63751, 0.029024, 2.56286, 0
0.0623166, -0.0448125, 0.610885, -1.64122, 0.0291077, 2.56156, 0
0.0612141, -0.044916, 0.61086, -1.6449, 0.0291906, 2.56026, 0
0.0601227, -0.0450184, 0.610835, -1.64853, 0.0292726, 2.55898, 0
0.0590421, -0.0451199, 0.61081, -1.65213, 0.0293538, 2.55772, 0
0.0579724, -0.0452204, 0.610786, -1.6557, 0.0294342, 2.55646, 0
0.0569134, -0.04532, 0.610762, -1.65923, 0.0295138, 2.55522, 0
0.0558649, -0.0454186, 0.610738, -1.66272, 0.0295927, 2.55399, 0
0.054827, -0.0455162, 0.610714, -1.66618, 0.0296707, 2.55277, 0
0.0537994, -0.0456129, 0.610691, -1.6696, 0.0297479, 2.55157, 0
0.052782, -0.0457086, 0.610668, -1.67299, 0.0298244, 2.55038, 0
0.0517749, -0.0458035, 0.610645, -1.67635, 0.0299001, 2.5492, 0
0.0507778, -0.0458974, 0.610622, -1.67967, 0.029975, 2.54803, 0
0.0497907, -0.0459905, 0.6106, -1.68296, 0.0300492, 2.54687, 0
0.0488135, -0.0460826, 0.610578, -1.68622, 0.0301226, 2.54572, 0
0.047846, -0.0461738, 0.610556, -1.68944, 0.0301953, 2.54459, 0
0.0468882, -0.0462642, 0.610534, -1.69263, 0.0302673, 2.54346, 0
0.04594, -0.0463537, 0.610512, -1.69579, 0.0303386, 2.54235, 0
0.0450013, -0.0464423, 0.610491, -1.69892, 0.0304091, 2.54125, 0
0.0440719, -0.0465301, 0.61047, -1.70201, 0.0304789, 2.54016, 0
0.0431518, -0.046617, 0.610449, -1.70508, 0.0305481, 2.53908, 0
0.042241, -0.0467031, 0.610429, -1.70812, 0.0306165, 2.53802, 0
0.0413392, -0.0467884, 0.610408, -1.71112, 0.0306842, 2.53696, 0
0.0404465, -0.0468728, 0.610388, -1.71409, 0.0307513, 2.53591, 0
0.0395627, -0.0469564, 0.610368, -1.71704, 0.0308177, 2.53487, 0
0.0386877, -0.0470392, 0.610348, -1.71995, 0.0308834, 2.53385, 0
0.0378215, -0.0471212, 0.610329, -1.72284, 0.0309484, 2.53283, 0
0.0369639, -0.0472024, 0.610309, -1.7257, 0.0310128, 2.53183, 0
0.0361149, -0.0472829, 0.61029, -1.72853, 0.0310766, 2.53083, 0
0.0352744, -0.0473625, 0.610271, -1.73133, 0.0311397, 2.52985, 0
0.0344423, -0.0474414, 0.610253, -1.7341, 0.0312021, 2.52887, 0
0.0336185, -0.0475195, 0.610234, -1.73685, 0.031264, 2.5279, 0
0.032803, -0.0475969, 0.610216, -1.73956, 0.0313252, 2.52695, 0
0.0319956, -0.0476735, 0.610197, -1.74225, 0.0313858, 2.526, 0
0.0311963, -0.0477493, 0.610179, -1.74492, 0.0314457, 2.52506, 0
0.030405, -0.0478245, 0.610162, -1.74755, 0.0315051, 2.52414, 0
0.0296215, -0.0478988, 0.610144, -1.75016, 0.0315639, 2.52322, 0
0.028846, -0.0479725, 0.610127, -1.75275, 0.0316221, 2.52231, 0
0.0280781, -0.0480455, 0.610109, -1.75531, 0.0316797, 2.52141, 0
0.027318, -0.0481177, 0.610092, -1.75784, 0.0317367, 2.52052, 0
0.0265655, -0.0481893, 0.610075, -1.76035, 0.0317931, 2.51963, 0
0.0258204, -0.0482601, 0.610059, -1.76283, 0.031849, 2.51876, 0
0.0250829, -0.0483303, 0.610042, -1.76529, 0.0319043, 2.51789, 0
0.0243527, -0.0483998, 0.610026, -1.76772, 0.031959, 2.51704, 0
0.0236298, -0.0484686, 0.61001, -1.77013, 0.0320132, 2.51619, 0
0.0229141, -0.0485367, 0.609994, -1.77251, 0.0320668, 2.51535, 0
0.0222056, -0.0486042, 0.609978, -1.77487, 0.0321199, 2.51452, 0
0.0215042, -0.048671, 0.609962, -1.77721, 0.0321724, 2.5137, 0
0.0208097, -0.0487372, 0.609946, -1.77953, 0.0322245, 2.51288, 0
0.0201223, -0.0488027, 0.609931, -1.78182, 0.032276, 2.51208, 0
0.0194417, -0.0488676, 0.609916, -1.78408, 0.0323269, 2.51128, 0
0.0187679, -0.0489318, 0.609901, -1.78633, 0.0323774, 2.51049, 0
0.0181008, -0.0489955, 0.609886, -1.78855, 0.0324273, 2.50971, 0
0.0174405, -0.0490585, 0.609871, -1.79075, 0.0324768, 2.50893, 0
0.0167867, -0.0491208, 0.609857, -1.79293, 0.0325257, 2.50817, 0
0.0161394, -0.0491826, 0.609842, -1.79509, 0.0325742, 2.50741, 0
0.0154987, -0.0492438, 0.609828, -1.79722, 0.0326221, 2.50666, 0
0.0148643, -0.0493044, 0.609814, -1.79934, 0.0326696, 2.50591, 0
0.0142363, -0.0493644, 0.6098, -1.80143, 0.0327166, 2.50518, 0
0.0136145, -0.0494238, 0.609786, -1.8035, 0.0327631, 2.50445, 0
0.012999, -0.0494826, 0.609772, -1.80555, 0.0328091, 2.50372, 0
0.0123896, -0.0495408, 0.609759, -1.80758, 0.0328547, 2.50301, 0
0.0117864, -0.0495985, 0.609745, -1.80959, 0.0328998, 2.5023, 0
0.0111891, -0.0496556, 0.609732, -1.81158, 0.0329445, 2.5016, 0
0.0105979, -0.0497122, 0.609719, -1.81355, 0.0329887, 2.50091, 0
0.0100125, -0.0497682, 0.609706, -1.8155, 0.0330324, 2.50022, 0
0.00943299, -0.0498236, 0.609693, -1.81743, 0.0330757, 2.49954, 0
0.00885928, -0.0498785, 0.60968, -1.81934, 0.0331186, 2.49887, 0
0.0082913, -0.0499329, 0.609667, -1.82124, 0.0331611, 2.4982, 0
0.00772901, -0.0499867, 0.609655, -1.82311, 0.0332031, 2.49754, 0
0.00717233, -0.0500401, 0.609643, -1.82497, 0.0332447, 2.49689, 0
0.00662123, -0.0500928, 0.60963, -1.8268, 0.0332858, 2.49625, 0
0.00607563, -0.0501451, 0.609618, -1.82862, 0.0333266, 2.49561, 0
0.00553549, -0.0501969, 0.609606, -1.83042, 0.0333669, 2.49497, 0
0.00500075, -0.0502481, 0.609594, -1.8322, 0.0334068, 2.49435, 0
0.00447136, -0.0502989, 0.609583, -1.83397, 0.0334463, 2.49372, 0
0.00394726, -0.0503491, 0.609571, -1.83571, 0.0334855, 2.49311, 0
0.00342841, -0.0503989, 0.60956, -1.83744, 0.0335242, 2.4925, 0
0.00291474, -0.0504481, 0.609548, -1.83915, 0.0335625, 2.4919, 0
0.00240621, -0.0504969, 0.609537, -1.84085, 0.0336005, 2.4913, 0
0.00190276, -0.0505452, 0.609526, -1.84252, 0.033638, 2.49071, 0
0.00140434, -0.0505931, 0.609515, -1.84419, 0.0336752, 2.49013, 0
0.000910914, -0.0506404, 0.609504, -1.84583, 0.033712, 2.48955, 0
0.000422419, -0.0506873, 0.609493, -1.84746, 0.0337484, 2.48898, 0
-6.11921e-05, -0.0507338, 0.609482, -1.84907, 0.0337845, 2.48841, 0
-0.000539967, -0.0507797, 0.609472, -1.85066, 0.0338202, 2.48785, 0
-0.00101395, -0.0508253, 0.609461, -1.85224, 0.0338555, 2.48729, 0
-0.0014832, -0.0508704, 0.609451, -1.85381, 0.0338905, 2.48674, 0
-0.00194776, -0.050915, 0.609441, -1.85536, 0.0339251, 2.4862, 0
